Total 25-54 unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Australia,,,,,,5.8000001907,5.9000000954,5.1999998093,4.5999999046,5.0999999046,7.3000001907,8,8.3000001907,7.3000001907,6.4000000954,6.4000000954,6.4000000954,6,5.4000000954,5,5.3000001907,5.0999999046,4.8000001907,4.1999998093,3.9000000954
Canada,5.9000000954,8.8999996185,9.8999996185,9.6999998093,9.1999998093,8.3000001907,7.6999998093,6.9000000954,6.8000001907,7.3000001907,9.1999998093,10,10.1999998093,9.3000001907,8.5,8.6000003815,7.8000001907,7,6.4000000954,5.6999998093,6.1999998093,6.5,6.4000000954,6,5.6999998093
Czech Rep.,,,,,,,,,,,,,3.4000000954,3.4000000954,3.2999999523,3.2000000477,4.0999999046,5.5,7.5,7.6999998093,7.1999998093,6.5,7,7.3000001907,7.4000000954
Estonia,,,,,,,,,,,,,,,,,,,,12.8999996185,11.8000001907,10,9.3999996185,8.8999996185,7.5
Finland,3.7999999523,4.1999998093,4.1999998093,3.7000000477,3.7999999523,4.1999998093,4.3000001907,3.7999999523,2.0999999046,2.0999999046,5.1999998093,9.6000003815,14.1000003815,14.1000003815,13.1000003815,12.1999998093,10.6999998093,9.3999996185,8.5,8,7.4000000954,7.3000001907,7.3000001907,7.1999998093,6.8000001907
France,5.1999998093,5.6999998093,6,7,7.6999998093,8.1999998093,8.6999998093,8.5,8.1999998093,7.8000001907,8.3000001907,9,10.3999996185,11,10.5,11.1000003815,11.1000003815,10.6999998093,10,8.8000001907,8.1000003815,8.3000001907,8.8999996185,9.1000003815,9.1000003815
Germany,,,,,,,,,,,5.4000000954,6.5,7.5999999046,8.1000003815,7.6999998093,8,8.8999996185,8.3999996185,7.8000001907,7.3000001907,7.5999999046,8.1999998093,9.5,10.3999996185,10.3999996185
"Hong Kong, China",,,,,2.2000000477,1.7999999523,1.1000000238,0.8999999762,0.6999999881,0.8999999762,1.2999999523,1.5,1.3999999762,1.3999999762,2.5,2.2000000477,1.7000000477,3.7000000477,5,4,4.3000001907,6.3000001907,6.9000000954,5.9000000954,4.8000001907
Ireland,,,12.5,14,15.6000003815,15.5,15.3999996185,15,14.3999996185,12.3999996185,13.6000003815,13.8999996185,14.3000001907,13.3999996185,11,11,9.5,7.3000001907,5.3000001907,4,3.2999999523,3.7000000477,4,3.9000000954,3.7000000477
Japan,1.7999999523,1.8999999762,2.2000000477,2.2000000477,2.0999999046,2.2000000477,2.2999999523,2,1.7999999523,1.6000000238,1.6000000238,1.7000000477,2,2.2999999523,2.5999999046,2.7000000477,2.7999999523,3.4000000954,4,4,4.4000000954,4.9000000954,4.6999998093,4.4000000954,4.1999998093
"Korea, Rep.",,,,,,,,,,,,1.7999999523,2.0999999046,1.8999999762,1.6000000238,1.6000000238,2.0999999046,6.3000001907,5.8000001907,3.9000000954,3.5999999046,3,3.0999999046,3.2000000477,3.4000000954
Latvia,,,,,,,,,,,,,,,,18,14.1999998093,12.8999996185,13.6000003815,14.1000003815,12.3999996185,11.1000003815,9.8999996185,9.8000001907,8.1999998093
Lithuania,,,,,,,,,,,,,,,,,,12.8000001907,14,15.6000003815,16.5,13.1999998093,11.1999998093,10.3999996185,7.8000001907
Netherlands,,,,,,,8.3000001907,8.1999998093,7.5,6.6999998093,6.3000001907,5.0999999046,5.5,6.3000001907,6.0999999046,5.4000000954,4.8000001907,3.5999999046,2.7000000477,2.4000000954,2.2000000477,2.7000000477,3.7999999523,4.4000000954,4.4000000954
New Zealand,,,,,,2.7999999523,2.9000000954,4,5.3000001907,6,8.1000003815,8.3000001907,7.6999998093,6.5999999046,5.0999999046,4.9000000954,5.3000001907,6.0999999046,5.4000000954,4.5,4.0999999046,4,3.5,2.9000000954,2.7000000477
Norway,1.5,1.7999999523,2.5999999046,2.5999999046,2,1.3999999762,1.5,2.2000000477,3.7999999523,4.3000001907,4.3000001907,4.8000001907,5,4.5,4,3.7999999523,3.2000000477,2.2999999523,2.2999999523,2.5,2.7000000477,3,3.9000000954,3.9000000954,4
Philippines,,,,,,7.8000001907,7.4000000954,6.3000001907,5.8000001907,5.9000000954,6.5999999046,4.9000000954,4.6999998093,4.8000001907,4.9000000954,4.3000001907,5.8000001907,5.4000000954,5.1999998093,6.0999999046,6,6.4000000954,6.4000000954,6.5999999046,5.5999999046
Poland,,,,,,,,,,,,,12.6999998093,12.8000001907,11.6999998093,10.8000001907,10,9.3000001907,11.8999996185,13.8999996185,15.6999998093,17.5,17.3999996185,16.8999996185,16
Portugal,,,5.3000001907,5.8000001907,6.1999998093,6.1999998093,5.1999998093,4.1999998093,3.7999999523,3.5999999046,3.2999999523,3.0999999046,4.4000000954,5.8000001907,6.0999999046,6.0999999046,5.6999998093,4.5,4.0999999046,3.5,3.5,4.5,5.8000001907,6.0999999046,7.3000001907
Romania,,,,,,,,,,,,,,6.6999998093,6.8000001907,5.1999998093,4.8000001907,5.4000000954,6.0999999046,6.5999999046,6.0999999046,7.4000000954,6.3000001907,6.9000000954,6.4000000954
Singapore,1.7999999523,1.6000000238,2.0999999046,1.8999999762,3.0999999046,4.8000001907,3.5999999046,2.4000000954,1.6000000238,1.3999999762,1.6000000238,1.7999999523,1.7999999523,1.7999999523,2.0999999046,2,1.8999999762,3,3.7999999523,,3.5,4.5999999046,4.8000001907,4.3000001907,
Slovak Republic,,,,,,,,,,,,,,,,,9.8999996185,10.1999998093,13.1000003815,15.3999996185,15.8999996185,15.3000001907,15,16,
Slovenia,,,,,,,,,,,,,7,7.4000000954,5.8000001907,5.6999998093,5.5999999046,6.4000000954,6.1999998093,6.0999999046,4.6999998093,5.1999998093,5.8000001907,5.3000001907,5.6999998093
Spain,8.8999996185,10.1999998093,11.5,13.8000001907,15.5,15,14.8999996185,14.6000003815,13.6000003815,13.1000003815,13.6000003815,15.6999998093,19.3999996185,20.8999996185,20,19.3999996185,18.2000007629,16.5,13.8000001907,12.3000001907,9.3000001907,10.1999998093,10.3000001907,9.8000001907,8
Sweden,1.7000000477,2.2000000477,2.4000000954,2.2000000477,1.8999999762,1.8999999762,1.6000000238,1.3999999762,1.2000000477,1.2999999523,2.5,4.8000001907,7.9000000954,8.1999998093,7.8000001907,8.6000003815,9,7.5999999046,6.1999998093,4.9000000954,4,4.1999998093,4.9000000954,5.5,6.3000001907
Switzerland,,,,,,,,,,,1.6000000238,2.5999999046,3.2999999523,3.5999999046,3,3.7000000477,4.0999999046,3.2999999523,2.7000000477,2.2999999523,2.0999999046,2.7000000477,3.7000000477,4,3.7999999523
Turkey,,,,,,,,,5.9000000954,5.4000000954,5.5999999046,5.8000001907,6,6.1999998093,5.0999999046,4.5999999046,4.5999999046,4.9000000954,5.8000001907,4.9000000954,6.6999998093,8.6000003815,8.6999998093,8.6999998093,9.5
United Kingdom,,,,,,,,,,,,,,,,,,,,,3.9000000954,4.0999999046,3.7000000477,3.5999999046,3.5
